bioguideId,last_name,first_name,party,state,chamber,chamber_id
H001057,Huelskamp,Tim,R,KS,House,1
F000460,Farenthold,Blake,R,TX,House,1
S001189,Scott,Austin,R,GA,House,1
S001175,Speier,Jackie,D,CA,House,1
B001279,Barber,Ron,D,AZ,House,1
B001270,Bass,Karen,D,CA,House,1
B001281,Beatty,Joyce,D,OH,House,1
B001242,Bishop,Timothy,D,NY,House,1
H001064,Heck,Denny,D,WA,House,1
C001101,Clark,Katherine,D,MA,House,1
B000574,Blumenauer,Earl,D,OR,House,1
B001278,Bonamici,Suzanne,D,OR,House,1
B001259,Braley,Bruce,D,IA,House,1
B001285,Brownley,Julia,D,CA,House,1
C001097,Cardenas,Tony,D,CA,House,1
C001083,Carney,John,D,DE,House,1
C001090,Cartwright,Matt,D,PA,House,1
C001080,Chu,Judy,D,CA,House,1
C001084,Cicilline,David,D,RI,House,1
C001049,Clay,Wm.,D,MO,House,1
C001078,Connolly,Gerald,D,VA,House,1
C000714,Conyers,John,D,MI,House,1
C000984,Cummings,Elijah,D,MD,House,1
D000598,Davis,Susan,D,CA,House,1
D000191,Defazio,Peter,D,OR,House,1
D000197,Degette,Diana,D,CO,House,1
D000620,Delaney,John,D,MD,House,1
D000216,Delauro,Rosa,D,CT,House,1
D000355,Dingell,John,D,MI,House,1
D000399,Doggett,Lloyd,D,TX,House,1
E000290,Edwards,Donna,D,MD,House,1
E000288,Ellison,Keith,D,MN,House,1
E000215,Eshoo,Anna,D,CA,House,1
F000030,Farr,Sam,D,CA,House,1
G000559,Garamendi,John,D,CA,House,1
G000551,Grijalva,Raul,D,AZ,House,1
H001063,Hahn,Janice,D,CA,House,1
H001038,Higgins,Brian,D,NY,House,1
H001047,Himes,James,D,CT,House,1
H001032,Holt,Rush,D,NJ,House,1
H001034,Honda,Michael,D,CA,House,1
H000874,Hoyer,Steny,D,MD,House,1
H001068,Huffman,Jared,D,CA,House,1
I000057,Israel,Steve,D,NY,House,1
J000288,Johnson,Henry,D,GA,House,1
K000379,Kennedy,Joseph,D,MA,House,1
K000380,Kildee,Daniel,D,MI,House,1
K000188,Kind,Ron,D,WI,House,1
L000559,Langevin,James,D,RI,House,1
L000263,Levin,Sander,D,MI,House,1
L000579,Lowenthal,Alan,D,CA,House,1
L000580,Lujan Grisham,Michelle,D,NM,House,1
M000087,Maloney,Carolyn,D,NY,House,1
M001143,Mccollum,Betty,D,MN,House,1
M000404,Mcdermott,Jim,D,WA,House,1
M000312,Mcgovern,James,D,MA,House,1
M001149,Michaud,Michael,D,ME,House,1
M001160,Moore,Gwen,D,WI,House,1
M000933,Moran,James,D,VA,House,1
N000179,Napolitano,Grace,D,CA,House,1
N000127,Nolan,Richard,D,MN,House,1
N000147,Norton,Eleanor,D,DC,House,1
P000608,Peters,Scott,D,CA,House,1
P000597,Pingree,Chellie,D,ME,House,1
P000607,Pocan,Mark,D,WI,House,1
R000486,Roybal-Allard,Lucille,D,CA,House,1
R000576,Ruppersberger,C. A.,D,MD,House,1
S001156,Sanchez,Linda,D,CA,House,1
S001145,Schakowsky,Janice,D,IL,House,1
S001150,Schiff,Adam,D,CA,House,1
S000185,Scott,Robert,D,VA,House,1
S001170,Shea-Porter,Carol,D,NH,House,1
S000344,Sherman,Brad,D,CA,House,1
S001165,Sires,Albio,D,NJ,House,1
S000480,Slaughter,Louise,D,NY,House,1
S000510,Smith,Adam,D,WA,House,1
S001193,Swalwell,Eric,D,CA,House,1
T000472,Takano,Mark,D,CA,House,1
T000460,Thompson,Mike,D,CA,House,1
T000266,Tierney,John,D,MA,House,1
T000468,Titus,Dina,D,NV,House,1
T000465,Tsongas,Niki,D,MA,House,1
V000128,Van Hollen,Chris,D,MD,House,1
V000131,Veasey,Marc,D,TX,House,1
W000215,Waxman,Henry,D,CA,House,1
W000800,Welch,Peter,D,VT,House,1
P000258,Peterson,Collin,D,MN,House,1
P000096,Pascrell,William,D,NJ,House,1
H001050,Hanabusa,Colleen,D,HI,House,1
M001185,Maloney,Sean,D,NY,House,1
B001227,Brady,Robert,D,PA,House,1
R000588,Richmond,Cedric,D,LA,House,1
G000535,Gutierrez,Luis,D,IL,House,1
P000595,Peters,Gary,D,MI,House,1
N000187,Negrete Mcleod,Gloria,D,CA,House,1
K000009,Kaptur,Marcy,D,OH,House,1
R000577,Ryan,Tim,D,OH,House,1
P000034,Pallone,Frank,D,NJ,House,1
M000309,Mccarthy,Carolyn,D,NY,House,1
M001163,Matsui,Doris,D,CA,House,1
B001286,Bustos,Cheri,D,IL,House,1
W000187,Waters,Maxine,D,CA,House,1
T000469,Tonko,Paul,D,NY,House,1
K000385,Kelly,Robin,D,IL,House,1
S001191,Sinema,Kyrsten,D,AZ,House,1
E000293,Esty,Elizabeth,D,CT,House,1
S001180,Schrader,Kurt,D,OR,House,1
C000380,Christensen,Donna,D,VI,House,1
S001190,Schneider,Bradley,D,IL,House,1
F000455,Fudge,Marcia,D,OH,House,1
L000565,Loebsack,David,D,IA,House,1
K000368,Kirkpatrick,Ann,D,AZ,House,1
P000099,Pastor,Ed,D,AZ,House,1
C001067,Clarke,Yvette,D,NY,House,1
D000617,Delbene,Suzan,D,WA,House,1
G000553,Green,Al,D,TX,House,1
H000636,Hinojosa,Ruben,D,TX,House,1
K000375,Keating,William,D,MA,House,1
K000382,Kuster,Ann,D,NH,House,1
L000480,Lowey,Nita,D,NY,House,1
M001166,Mcnerney,Jerry,D,CA,House,1
P000523,Price,David,D,NC,House,1
S000030,Sanchez,Loretta,D,CA,House,1
F000454,Foster,Bill,D,IL,House,1
C001091,Castro,Joaquin,D,TX,House,1
C001069,Courtney,Joe,D,CT,House,1
P000593,Perlmutter,Ed,D,CO,House,1
R000599,Ruiz,Raul,D,CA,House,1
S000248,Serrano,Jose,D,NY,House,1
S001185,Sewell,Terri,D,AL,House,1
C001072,Carson,Andre,D,IN,House,1
H001066,Horsford,Steven,D,NV,House,1
W000799,Walz,Timothy,D,MN,House,1
J000294,Jeffries,Hakeem,D,NY,House,1
D000482,Doyle,Mike,D,PA,House,1
N000002,Nadler,Jerrold,D,NY,House,1
L000557,Larson,John,D,CT,House,1
L000571,Lummis,Cynthia,R,WY,House,1
C001064,Campbell,John,R,CA,House,1
G000552,Gohmert,Louie,R,TX,House,1
S001192,Stewart,Chris,R,UT,House,1
M001177,Mcclintock,Tom,R,CA,House,1
K000378,Kinzinger,Adam,R,IL,House,1
Y000033,Young,Don,R,AK,House,1
J000255,Jones,Walter,R,NC,House,1
H001045,Harper,Gregg,R,MS,House,1
C001075,Cassidy,Bill,R,LA,House,1
C001051,Carter,John,R,TX,House,1
D000619,Davis,Rodney,R,IL,House,1
E000291,Ellmers,Renee,R,NC,House,1
C001047,Capito,Shelley,R,WV,House,1
W000813,Walorski,Jackie,R,IN,House,1
C001096,Cramer,Kevin,R,ND,House,1
